run_id,scenario_id,seed,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,latency_sec,prediction_source
S2_non_coordinated_descriptor_clustering_n10_cs0p00_seed41_20260611T102923_396fdfaf,S2,41,94,132,168,0,0.415929203539823,1.0,0.5875,0.44,0.0,0.9737056737588652,0.9478363049990268,0.4259888749802485,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n10_cs0p00_seed53_20260611T102933_8fd71a48,S2,53,85,119,181,0,0.4166666666666667,1.0,0.5882352941176471,0.3966666666666666,0.0,0.9612549019607844,0.9258897419100875,0.3553856250364333,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n10_cs0p00_seed67_20260611T102942_59fe9e28,S2,67,67,125,175,0,0.3489583333333333,1.0,0.5173745173745173,0.4166666666666667,0.0,0.9555721393034826,0.8939922351551733,0.3296912080259062,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n10_cs0p00_seed71_20260611T102951_d3e17307,S2,71,81,122,178,0,0.3990147783251231,1.0,0.5704225352112676,0.4066666666666667,0.0,0.9499588477366254,0.8962316651173461,0.4128922080271877,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n10_cs0p00_seed83_20260611T103001_5ad97dd9,S2,83,88,107,193,0,0.4512820512820513,1.0,0.6219081272084805,0.3566666666666667,0.0,0.9731439393939394,0.9507058605534704,0.3358996660099365,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n10_cs0p00_seed97_20260611T103010_3ffa3968,S2,97,100,123,177,0,0.4484304932735426,1.0,0.6191950464396285,0.41,0.0,0.9998,0.9994339622641508,0.3558564999839291,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n10_cs0p25_seed101_20260611T103021_2c837e9e,S2,101,94,125,175,0,0.4292237442922374,1.0,0.6006389776357828,0.4166666666666667,0.0,0.9690780141843972,0.9395021184347138,0.340846374980174,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n10_cs0p25_seed11_20260611T100451_5b9c3275,S2,11,87,117,183,0,0.4264705882352941,1.0,0.5979381443298969,0.39,0.0,0.9539080459770116,0.9042833774452826,0.338364334020298,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n10_cs0p25_seed23_20260611T102906_1b3a9899,S2,23,93,126,174,0,0.4246575342465753,1.0,0.5961538461538461,0.42,0.0,0.9942652329749104,0.9899938814787012,0.3330219589988701,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n10_cs0p25_seed37_20260611T102916_6cef8fb4,S2,37,92,114,186,0,0.4466019417475728,1.0,0.6174496644295302,0.38,0.0,0.9784420289855074,0.9580723862755244,0.4324191670166328,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n10_cs0p25_seed41_20260611T102925_c2d2e942,S2,41,94,132,168,0,0.415929203539823,1.0,0.5875,0.44,0.0,0.9737056737588652,0.9478363049990268,0.337197582994122,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n10_cs0p25_seed53_20260611T102934_48768301,S2,53,85,119,181,0,0.4166666666666667,1.0,0.5882352941176471,0.3966666666666666,0.0,0.9612549019607844,0.9258897419100875,0.3437358340015635,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n10_cs0p25_seed67_20260611T102944_553d2122,S2,67,67,125,175,0,0.3489583333333333,1.0,0.5173745173745173,0.4166666666666667,0.0,0.9555721393034826,0.8939922351551733,0.4273642919724807,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n10_cs0p25_seed71_20260611T102953_367e61d8,S2,71,81,122,178,0,0.3990147783251231,1.0,0.5704225352112676,0.4066666666666667,0.0,0.9499588477366254,0.8962316651173461,0.3500864169909619,isolation_forest_only
