scenario_key,scenario_id,method,seed,campaign_size,coordination_strength
S3_strong_campaign,S3,local_ids,41,10,1.0
S3_strong_campaign,S3,descriptor_clustering,41,10,1.0
S3_strong_campaign,S3,standard_gnn,41,10,1.0
S3_strong_campaign,S3,fcgnn,41,10,1.0
S3_strong_campaign,S3,local_ids,53,2,0.75
S3_strong_campaign,S3,descriptor_clustering,53,2,0.75
S3_strong_campaign,S3,standard_gnn,53,2,0.75
S3_strong_campaign,S3,fcgnn,53,2,0.75
S3_strong_campaign,S3,local_ids,53,2,1.0
S3_strong_campaign,S3,descriptor_clustering,53,2,1.0
S3_strong_campaign,S3,standard_gnn,53,2,1.0
S3_strong_campaign,S3,fcgnn,53,2,1.0
S3_strong_campaign,S3,local_ids,53,5,0.75
S3_strong_campaign,S3,descriptor_clustering,53,5,0.75
S3_strong_campaign,S3,standard_gnn,53,5,0.75
S3_strong_campaign,S3,fcgnn,53,5,0.75
S3_strong_campaign,S3,local_ids,53,5,1.0
S3_strong_campaign,S3,descriptor_clustering,53,5,1.0
S3_strong_campaign,S3,standard_gnn,53,5,1.0
S3_strong_campaign,S3,fcgnn,53,5,1.0
S3_strong_campaign,S3,local_ids,53,10,0.75
S3_strong_campaign,S3,descriptor_clustering,53,10,0.75
S3_strong_campaign,S3,standard_gnn,53,10,0.75
S3_strong_campaign,S3,fcgnn,53,10,0.75
S3_strong_campaign,S3,local_ids,53,10,1.0
S3_strong_campaign,S3,descriptor_clustering,53,10,1.0
S3_strong_campaign,S3,standard_gnn,53,10,1.0
S3_strong_campaign,S3,fcgnn,53,10,1.0
S3_strong_campaign,S3,local_ids,67,2,0.75
S3_strong_campaign,S3,descriptor_clustering,67,2,0.75
S3_strong_campaign,S3,standard_gnn,67,2,0.75
S3_strong_campaign,S3,fcgnn,67,2,0.75
S3_strong_campaign,S3,local_ids,67,2,1.0
S3_strong_campaign,S3,descriptor_clustering,67,2,1.0
S3_strong_campaign,S3,standard_gnn,67,2,1.0
S3_strong_campaign,S3,fcgnn,67,2,1.0
S3_strong_campaign,S3,local_ids,67,5,0.75
S3_strong_campaign,S3,descriptor_clustering,67,5,0.75
S3_strong_campaign,S3,standard_gnn,67,5,0.75
S3_strong_campaign,S3,fcgnn,67,5,0.75
S3_strong_campaign,S3,local_ids,67,5,1.0
S3_strong_campaign,S3,descriptor_clustering,67,5,1.0
S3_strong_campaign,S3,standard_gnn,67,5,1.0
S3_strong_campaign,S3,fcgnn,67,5,1.0
S3_strong_campaign,S3,local_ids,67,10,0.75
S3_strong_campaign,S3,descriptor_clustering,67,10,0.75
S3_strong_campaign,S3,standard_gnn,67,10,0.75
S3_strong_campaign,S3,fcgnn,67,10,0.75
S3_strong_campaign,S3,local_ids,67,10,1.0
S3_strong_campaign,S3,descriptor_clustering,67,10,1.0
S3_strong_campaign,S3,standard_gnn,67,10,1.0
S3_strong_campaign,S3,fcgnn,67,10,1.0
S3_strong_campaign,S3,local_ids,71,2,0.75
